step,time_s,picard_iterations,picard_final_delta,linear_normalized_inf_residual,moisture_balance_residual,energy_balance_residual
193,48.250000,3,2.693694e-10,1.144403e-16,-9.886463e-21,1.028011e-12
194,48.500000,3,2.688241e-10,1.144488e-16,-2.988438e-20,-3.547718e-12
195,48.750000,3,2.682827e-10,1.198351e-16,-7.940934e-21,-2.456618e-12
196,49.000000,3,2.677449e-10,1.531202e-16,2.519261e-20,-7.522871e-13
197,49.250000,3,2.672107e-10,1.144738e-16,-3.341810e-21,-1.548678e-12
198,49.500000,3,2.666809e-10,1.144820e-16,1.786048e-20,2.716799e-12
199,49.750000,3,2.661542e-10,1.144901e-16,6.485096e-21,2.630923e-12
200,50.000000,3,2.656306e-10,1.144983e-16,5.638063e-21,5.816708e-12
201,50.250000,3,2.651119e-10,1.145064e-16,-8.490182e-21,-2.342460e-12
202,50.500000,3,2.645955e-10,1.145145e-16,1.179229e-20,2.151612e-13
203,50.750000,3,2.640830e-10,1.264764e-16,1.304960e-20,2.849859e-12
204,51.000000,3,2.635741e-10,1.145307e-16,1.169303e-20,-2.780276e-13
205,51.250000,3,2.630682e-10,1.145388e-16,-1.590172e-20,-2.330913e-13
206,51.500000,3,2.625660e-10,1.231421e-16,5.545419e-21,-1.561029e-12
207,51.750000,3,2.620673e-10,1.145549e-16,-1.401575e-20,1.087658e-12
208,52.000000,3,2.615721e-10,1.718445e-16,-8.251954e-21,-9.758028e-13
209,52.250000,3,2.610792e-10,1.145711e-16,-7.338746e-21,-2.745359e-12
210,52.500000,3,2.605898e-10,1.331180e-16,1.277167e-20,-5.165840e-12
211,52.750000,3,2.601044e-10,1.630668e-16,-2.195668e-20,1.539102e-12
212,53.000000,3,2.596212e-10,1.145952e-16,3.613125e-21,5.652201e-12
213,53.250000,3,2.591416e-10,1.146032e-16,-4.288104e-21,5.795281e-12
214,53.500000,3,2.586651e-10,1.146113e-16,9.522503e-21,-3.282347e-12
215,53.750000,3,2.581912e-10,1.146193e-16,-1.674875e-20,7.675527e-13
216,54.000000,3,2.577205e-10,1.146273e-16,1.344003e-20,-2.566780e-12
217,54.250000,3,2.572529e-10,1.146353e-16,7.537270e-21,-1.770029e-12
218,54.500000,3,2.567879e-10,1.164628e-16,2.845501e-22,-4.684586e-13
219,54.750000,3,2.563261e-10,1.146513e-16,-1.271873e-20,-1.679018e-12
220,55.000000,3,2.558673e-10,1.146593e-16,-4.532950e-21,-7.923107e-13
221,55.250000,3,2.554112e-10,1.433340e-16,1.606054e-20,2.777389e-12
222,55.500000,3,2.549578e-10,1.146752e-16,-3.854662e-20,-3.680972e-12
223,55.750000,3,2.545075e-10,1.146831e-16,6.782881e-21,-1.963790e-12
224,56.000000,3,2.540599e-10,1.720366e-16,7.120371e-21,8.645862e-14
225,56.250000,3,2.536149e-10,1.146990e-16,-5.234399e-21,-9.916235e-13
226,56.500000,3,2.531726e-10,1.720605e-16,-2.789915e-20,1.718570e-12
227,56.750000,3,2.527338e-10,1.230992e-16,-4.552802e-21,-1.495193e-12
228,57.000000,3,2.522969e-10,1.147225e-16,9.297510e-21,-3.496176e-12
229,57.250000,3,2.518625e-10,1.147301e-16,3.222696e-21,-1.589284e-12
230,57.500000,3,2.514304e-10,1.147377e-16,-1.302313e-20,4.224204e-12
231,57.750000,3,2.510014e-10,1.530319e-16,1.118348e-20,5.951628e-13
232,58.000000,3,2.505747e-10,1.434411e-16,-4.632211e-21,-1.202510e-12
233,58.250000,3,2.501510e-10,1.434505e-16,1.522012e-22,-2.821077e-12
234,58.500000,3,2.497291e-10,1.630039e-16,-5.849821e-21,-8.651690e-13
235,58.750000,3,2.493108e-10,1.721634e-16,5.293956e-21,-5.481754e-12
236,59.000000,3,2.488938e-10,1.264068e-16,-1.191802e-20,-1.481371e-12
237,59.250000,3,2.484799e-10,1.147907e-16,3.236592e-20,-3.020834e-12
238,59.500000,3,2.480678e-10,1.363816e-16,2.553010e-20,4.710371e-12
239,59.750000,3,2.476588e-10,1.164213e-16,1.796636e-20,-1.506739e-12
240,60.000000,3,2.472520e-10,1.230718e-16,1.402898e-20,-1.710881e-12
241,60.250000,3,2.468465e-10,1.197434e-16,-1.200405e-20,-8.102963e-13
242,60.500000,3,2.464438e-10,1.148284e-16,1.692081e-20,1.462969e-12
243,60.750000,3,2.460436e-10,1.230652e-16,1.561717e-20,-4.594075e-12
244,61.000000,3,2.456453e-10,1.148434e-16,1.495543e-20,7.963630e-13
245,61.250000,3,2.452496e-10,1.463426e-16,-1.221580e-20,2.304601e-12
246,61.500000,3,2.448561e-10,1.148584e-16,-7.722558e-21,-1.061901e-12
247,61.750000,3,2.444640e-10,1.263821e-16,1.672228e-20,-4.078959e-13
248,62.000000,3,2.440745e-10,1.148734e-16,3.096964e-21,1.607742e-12
249,62.250000,3,2.436873e-10,1.723213e-16,-8.735027e-22,1.207395e-12
250,62.500000,3,2.433023e-10,1.148883e-16,2.230741e-20,-4.593964e-12
251,62.750000,3,2.429199e-10,1.363495e-16,1.181214e-20,9.224010e-13
252,63.000000,3,2.425384e-10,1.149033e-16,-1.082614e-20,-1.334544e-12
253,63.250000,3,2.421610e-10,1.149107e-16,-1.557085e-20,-5.419915e-12
254,63.500000,3,2.417844e-10,1.149182e-16,2.752857e-21,-2.055356e-12
255,63.750000,3,2.414104e-10,1.149256e-16,-1.666273e-20,-5.227291e-12
256,64.000000,3,2.410365e-10,1.149331e-16,-2.243314e-21,-3.224199e-12
257,64.250000,3,2.406666e-10,1.149405e-16,1.985233e-23,5.729056e-12
258,64.500000,3,2.402989e-10,1.330062e-16,6.253485e-21,3.876316e-12
259,64.750000,3,2.399316e-10,1.149553e-16,2.943439e-20,2.861156e-12
260,65.000000,3,2.395675e-10,1.149627e-16,-4.001569e-20,7.107093e-13
261,65.250000,3,2.392047e-10,1.149701e-16,9.648235e-21,1.578127e-12
262,65.500000,3,2.388436e-10,1.196963e-16,2.071260e-21,-2.098821e-12
263,65.750000,3,2.384852e-10,1.149844e-16,9.482799e-21,1.295491e-12
264,66.000000,3,2.381286e-10,1.163669e-16,1.260623e-20,1.837086e-12
265,66.250000,3,2.377729e-10,1.724979e-16,-1.490910e-20,-3.533229e-12
266,66.500000,3,2.374199e-10,1.150057e-16,-8.986490e-21,-2.330081e-12
267,66.750000,3,2.370690e-10,1.363074e-16,1.467088e-20,-8.896772e-13
268,67.000000,3,2.367200e-10,1.329802e-16,1.905162e-20,5.224488e-12
269,67.250000,3,2.363718e-10,1.150270e-16,3.982378e-20,-2.726375e-12
270,67.500000,3,2.360259e-10,1.150341e-16,-2.125523e-20,4.048928e-12
271,67.750000,3,2.356813e-10,1.229993e-16,-6.352747e-21,-1.311729e-13
272,68.000000,3,2.353393e-10,1.438103e-16,1.029674e-20,2.814415e-13
273,68.250000,3,2.349987e-10,1.196702e-16,1.427383e-20,-4.996004e-16
274,68.500000,3,2.346598e-10,1.462606e-16,-3.566803e-21,1.958045e-12
275,68.750000,3,2.343228e-10,1.150695e-16,-2.194345e-20,4.208967e-12
