step,time_s,picard_iterations,picard_delta_temperature_C,picard_delta_moisture_kgkg,linear_normalized_inf_residual,moisture_balance_residual,energy_balance_residual
263,131.500000,4,7.460699e-13,8.615331e-14,3.051216e-16,-6.088049e-21,-5.820688e-11
264,132.000000,4,8.242296e-13,8.260059e-14,3.051675e-16,1.262873e-19,-3.454470e-11
265,132.500000,4,6.679102e-13,8.659740e-14,3.407976e-16,6.683619e-21,-7.167711e-12
266,133.000000,4,6.394885e-13,8.526513e-14,3.052570e-16,-1.287358e-19,9.135892e-11
267,133.500000,4,6.856737e-13,8.482104e-14,3.053040e-16,-2.272431e-20,-6.467382e-11
268,134.000000,4,6.679102e-13,8.437695e-14,3.053494e-16,-6.117828e-20,7.657752e-11
269,134.500000,4,5.719869e-13,8.304468e-14,3.053932e-16,-1.009756e-19,-5.840417e-11
270,135.000000,4,8.988366e-13,8.082424e-14,3.054401e-16,4.008848e-20,8.311596e-11
271,135.500000,4,1.215028e-12,8.171241e-14,3.408035e-16,-8.081224e-20,-2.108536e-12
272,136.000000,4,6.785683e-13,8.437695e-14,3.055302e-16,-2.226108e-20,8.736722e-11
273,136.500000,4,9.272583e-13,9.148238e-14,3.408052e-16,5.585123e-20,-7.065049e-11
274,137.000000,4,6.892265e-13,8.881784e-14,3.056197e-16,-1.161428e-19,9.280354e-13
