record_type,time_s,time_h,radius_cm,r_cm,is_surface,temperature_C,moisture_kgkg
sample_fixed,720,0.20000000,1.9492,0.4000,0,28.2379,2.5500
sample_fixed,720,0.20000000,1.9492,0.5000,0,28.2692,2.5500
sample_fixed,720,0.20000000,1.9492,0.6000,0,28.3093,2.5500
sample_fixed,720,0.20000000,1.9492,0.7000,0,28.3590,2.5500
sample_fixed,720,0.20000000,1.9492,0.8000,0,28.4198,2.5500
sample_fixed,720,0.20000000,1.9492,0.9000,0,28.4929,2.5500
sample_fixed,720,0.20000000,1.9492,1.0000,0,28.5802,2.5500
sample_fixed,720,0.20000000,1.9492,1.1000,0,28.6834,2.5500
sample_fixed,720,0.20000000,1.9492,1.2000,0,28.8047,2.5500
sample_fixed,720,0.20000000,1.9492,1.3000,0,28.9464,2.5500
sample_fixed,720,0.20000000,1.9492,1.4000,0,29.1112,2.5500
sample_fixed,720,0.20000000,1.9492,1.5000,0,29.3017,2.5499
sample_fixed,720,0.20000000,1.9492,1.6000,0,29.5209,2.5472
sample_fixed,720,0.20000000,1.9492,1.7000,0,29.7715,2.5191
sample_fixed,720,0.20000000,1.9492,1.8000,0,30.0573,2.3581
sample_fixed,720,0.20000000,1.9492,1.9000,0,30.3857,1.8353
sample_surface,720,0.20000000,1.9492,1.9492,1,30.5686,1.3900
sample_fixed,780,0.21666667,1.9450,0.0000,0,28.2506,2.5500
sample_fixed,780,0.21666667,1.9450,0.1000,0,28.2544,2.5500
sample_fixed,780,0.21666667,1.9450,0.2000,0,28.2658,2.5500
sample_fixed,780,0.21666667,1.9450,0.3000,0,28.2852,2.5500
sample_fixed,780,0.21666667,1.9450,0.4000,0,28.3130,2.5500
sample_fixed,780,0.21666667,1.9450,0.5000,0,28.3499,2.5500
sample_fixed,780,0.21666667,1.9450,0.6000,0,28.3968,2.5500
sample_fixed,780,0.21666667,1.9450,0.7000,0,28.4547,2.5500
sample_fixed,780,0.21666667,1.9450,0.8000,0,28.5250,2.5500
sample_fixed,780,0.21666667,1.9450,0.9000,0,28.6091,2.5500
sample_fixed,780,0.21666667,1.9450,1.0000,0,28.7088,2.5500
sample_fixed,780,0.21666667,1.9450,1.1000,0,28.8258,2.5500
sample_fixed,780,0.21666667,1.9450,1.2000,0,28.9623,2.5500
sample_fixed,780,0.21666667,1.9450,1.3000,0,29.1204,2.5500
sample_fixed,780,0.21666667,1.9450,1.4000,0,29.3027,2.5500
sample_fixed,780,0.21666667,1.9450,1.5000,0,29.5115,2.5497
sample_fixed,780,0.21666667,1.9450,1.6000,0,29.7496,2.5453
sample_fixed,780,0.21666667,1.9450,1.7000,0,30.0200,2.5073
sample_fixed,780,0.21666667,1.9450,1.8000,0,30.3271,2.3193
sample_fixed,780,0.21666667,1.9450,1.9000,0,30.6799,1.7690
sample_surface,780,0.21666667,1.9450,1.9450,1,30.8595,1.3651
sample_fixed,840,0.23333333,1.9407,0.0000,0,28.3275,2.5500
sample_fixed,840,0.23333333,1.9407,0.1000,0,28.3320,2.5500
sample_fixed,840,0.23333333,1.9407,0.2000,0,28.3453,2.5500
sample_fixed,840,0.23333333,1.9407,0.3000,0,28.3678,2.5500
sample_fixed,840,0.23333333,1.9407,0.4000,0,28.4001,2.5500
sample_fixed,840,0.23333333,1.9407,0.5000,0,28.4427,2.5500
sample_fixed,840,0.23333333,1.9407,0.6000,0,28.4967,2.5500
sample_fixed,840,0.23333333,1.9407,0.7000,0,28.5630,2.5500
sample_fixed,840,0.23333333,1.9407,0.8000,0,28.6430,2.5500
sample_fixed,840,0.23333333,1.9407,0.9000,0,28.7381,2.5500
sample_fixed,840,0.23333333,1.9407,1.0000,0,28.8500,2.5500
sample_fixed,840,0.23333333,1.9407,1.1000,0,28.9806,2.5500
sample_fixed,840,0.23333333,1.9407,1.2000,0,29.1318,2.5500
sample_fixed,840,0.23333333,1.9407,1.3000,0,29.3059,2.5500
